id;date;time;season;cloudiness;declination;earth_sun_dist;air_temp;rel_hum
LC08_219079_20130405;2013-04-05 13:08:16.649;13:08:16.6493000Z;Fall;0,0;0,10081583755842115;1,0005653;27,1;0,55
LC08_220079_20130417;2013-04-17 13:13:32.894;13:13:32.8940000Z;Fall;0,0;0,17790807390631436;1,0039535;21,4;0,55
LC08_219079_20130731;2013-07-31 13:07:33.411;13:07:33.4114040Z;Winter;0,030904658056159887;0,32234740420042174;1,0150328;14,2;0,83
LC08_220079_20130807;2013-08-07 13:13:44.919;13:13:44.9197290Z;Winter;0,01271130105062984;0,2905552788931417;1,0140889;19,2;0,58
LC08_220079_20130908;2013-09-08 13:13:45.368;13:13:45.3680570Z;Winter;0,0001430999919611474;0,10467790636827369;1,0073994;20,8;0,73
LC08_219079_20131019;2013-10-19 13:07:22.986;13:07:22.9868050Z;Spring;0,0016979426567564641;-0,16915754637656197;0,9959045;24,1;0,65
LC08_220079_20140130;2014-01-30 13:12:48.965;13:12:48.9656100Z;Summer;0,003952225366213219;-0,3121733465111044;0,9851554;29,6;0,66
LC08_219079_20140413;2014-04-13 13:05:34.130;13:05:34.1300300Z;Fall;0,015052818603492;0,15285169784377586;1,0026969;25,1;0,65
LC08_219079_20140616;2014-06-16 13:05:16.029;13:05:16.0291420Z;Fall;0,0003646221515966914;0,4071998547133282;1,0158247;20,9;0,83
LC08_220079_20140725;2014-07-25 13:11:37.216;13:11:37.2160180Z;Winter;0,0;0,3461885961491217;1,0157376;15,7;0,67
LC08_219079_20140803;2014-08-03 13:05:33.023;13:05:33.0231590Z;Winter;0,011951218441408656;0,30922096956351475;1,0146767;26,0;0,51
LC08_219079_20140819;2014-08-19 13:05:37.842;13:05:37.8426000Z;Winter;0,0015839836392214407;0,22748717151585862;1,0120246;19,6;0,83
LC08_220079_20140826;2014-08-26 13:11:48.795;13:11:48.7953830Z;Winter;0,0;0,1865781092042075;1,0105847;18,3;0,43
LC08_219079_20140920;2014-09-20 13:05:40.078;13:05:40.0780200Z;Winter;0,0;0,024679187349249006;1,0042886;25,2;0,68
LC08_220079_20141029;2014-10-29 13:11:53.679;13:11:53.6799990Z;Spring;0,0037325247903199285;-0,23037279431995117;0,993314;25,8;0,56
LC08_219079_20150126;2015-01-26 13:05:30.473;13:05:30.4739850Z;Summer;8,33675599590232e-05;-0,33025821954715295;0,9845951;28,0;0,63
LC08_219079_20150227;2015-02-27 13:05:20.327;13:05:20.3276630Z;Summer;1,19096514227176e-05;-0,1506913017938284;0,9903144;29,7;0,61
LC08_220079_20150509;2015-05-09 13:10:48.765;13:10:48.7657950Z;Fall;0,0;0,2991208132522704;1,0094744;21,6;0,6
LC08_219079_20150603;2015-06-03 13:04:42.642;13:04:42.6425740Z;Fall;0,001571093192975676;0,3878012005090005;1,0142789;20,2;0,66
LC08_220079_20150610;2015-06-10 13:10:58.948;13:10:58.9488050Z;Fall;0,0;0,4007090832996555;1,0152346;23,8;0,62
LC08_219079_20150619;2015-06-19 13:04:51.921;13:04:51.9215510Z;Fall;0,0002895679953758789;0,40883055987602723;1,0161182;13,7;0,52
LC08_220079_20150728;2015-07-28 13:11:20.854;13:11:20.8544080Z;Winter;0,0;0,33468247240778887;1,0154237;20,5;0,71
LC08_220079_20150829;2015-08-29 13:11:32.291;13:11:32.2913810Z;Winter;0,0;0,16828545893249144;1,0099105;21,3;0,63
LC08_220079_20150914;2015-09-14 13:11:39.761;13:11:39.7610660Z;Winter;0,009462977997815052;0,06503228232044862;1,0059825;19,4;0,61
LC08_219079_20150923;2015-09-23 13:05:32.598;13:05:32.5988590Z;Spring;0,00015062206211084023;0,0043420221767461985;1,0034716;24,1;0,73
LC08_219079_20160113;2016-01-13 13:05:38.129;13:05:38.1295490Z;Summer;4,343519930638184e-05;-0,37724303517583996;0,9835423;29,4;0,64
LC08_220079_20160120;2016-01-20 13:11:49.361;13:11:49.3612270Z;Summer;0,0011572861114583382;-0,3543028385983858;0,9839565;27,7;0,53
LC08_220079_20160409;2016-04-09 13:11:21.345;13:11:21.3451890Z;Fall;0,0026075998535142423;0,12712012720233998;1,0017764;27,9;0,73
LC08_219079_20160418;2016-04-18 13:05:06.962;13:05:06.9620650Z;Fall;0,0007415275907391661;0,18405470918834246;1,0042614;28,0;0,73
LC08_219079_20160504;2016-05-04 13:05:10.497;13:05:10.4977420Z;Fall;1,2983855276531342e-05;0,274504524606698;1,008519;19,4;0,73
LC08_220079_20160612;2016-06-12 13:11:25.801;13:11:25.8017380Z;Fall;0,0;0,40334794681034086;1,0155583;13,2;0,46
LC08_219079_20160707;2016-07-07 13:05:27.386;13:05:27.3865500Z;Winter;0,0001905544227634816;0,3959403386849113;1,0167256;16,7;0,48
LC08_219079_20160723;2016-07-23 13:05:32.898;13:05:32.8986460Z;Winter;0,008401768681315744;0,35338094162806344;1,0158545;17,7;0,65
LC08_219079_20170304;2017-03-04 13:05:22.979;13:05:22.9791120Z;Summer;0,00016935057277950595;-0,11752419111504202;0,9916981;28,8;0,65
LC08_220079_20170412;2017-04-12 13:11:13.062;13:11:13.0622309Z;Fall;0,0;0,14647811141799263;1,0024973;24,6;0,51
LC08_220079_20170428;2017-04-28 13:11:02.461;13:11:02.4617339Z;Fall;0,0;0,24250074377204953;1,0069235;18,1;0,59
LC08_220079_20170514;2017-05-14 13:11:09.587;13:11:09.5871639Z;Fall;6,243087884579469e-05;0,3216702851192379;1,0107139;23,4;0,64
LC08_220079_20170701;2017-07-01 13:11:30.925;13:11:30.9251580Z;Winter;0,0;0,4045182496560775;1,0166644;18,3;0,75
LC08_219079_20170726;2017-07-26 13:05:28.708;13:05:28.7088519Z;Winter;0,0004715754918242338;0,3424475868343393;1,0156178;22,3;0,68
LC08_220079_20170802;2017-08-02 13:11:42.597;13:11:42.5975200Z;Winter;0,037909619635077225;0,3136820037893492;1,0147614;24,5;0,52
LC08_220079_20170818;2017-08-18 13:11:47.993;13:11:47.9930110Z;Winter;0,0;0,23310608097088403;1,0121743;20,3;0,65
LC08_219079_20170912;2017-09-12 13:05:39.810;13:05:39.8103499Z;Winter;0,029074401507322795;0,07834248808012621;1,0063291;23,4;0,7
LC08_219079_20180408;2018-04-08 13:04:56.265;13:04:56.2653310Z;Fall;2,38193028454352e-05;0,12059373078906367;1,0013078;27,9;0,57
LC08_219079_20180424;2018-04-24 13:04:46.883;13:04:46.8832390Z;Fall;0,0001787381803715304;0,21982557257426574;1,0057498;26,2;0,62
LC08_219079_20180611;2018-06-11 13:04:24.225;13:04:24.2256659Z;Fall;0,0;0,4020875656329285;1,0153881;20,9;0,77
LC08_219079_20180713;2018-07-13 13:04:42.781;13:04:42.7818940Z;Winter;0,0002172694055626756;0,3832312034168683;1,0165662;14,7;0,64
LC08_220079_20180720;2018-07-20 13:10:56.384;13:10:56.3846630Z;Winter;0,006809969617439937;0,36342623413310615;1,0161432;17,4;0,95
LC08_219079_20180729;2018-07-29 13:04:49.560;13:04:49.5601640Z;Winter;9,52772113817408e-05;0,3306610607374063;1,0152845;17,8;0,77
LC08_219079_20180814;2018-08-14 13:04:58.909;13:04:58.9097120Z;Winter;0,0002293191705315428;0,25495707441297516;1,012993;19,4;0,62
LC08_220079_20180906;2018-09-06 13:11:19.196;13:11:19.1960410Z;Winter;0,03491747362669484;0,11767871760261651;1,007995;19,3;0,57
LC08_220079_20180922;2018-09-22 13:11:23.743;13:11:23.7437640Z;Winter;5,962499665047809e-05;0,011128779507957412;1,0036818;23,5;0,71
LC08_219079_20181001;2018-10-01 13:05:17.818;13:05:17.8185049Z;Spring;0,011564505054035707;-0,05001654180216805;1,0011553;26,4;0,71
LC08_219079_20181204;2018-12-04 13:05:27.649;13:05:27.6491770Z;Spring;0,00013871241068812263;-0,3864029118742794;0,9856053;23,8;0,59
LC08_220079_20190128;2019-01-28 13:11:30.977;13:11:30.9775850Z;Summer;0,016112264094869863;-0,3214115842020073;0,9848037;29,6;0,67
LC08_220079_20190402;2019-04-02 13:11:16.286;13:11:16.2869730Z;Fall;0,005822813496424297;0,0807738114321089;0,9995297;26,7;0,59
LC08_219079_20190411;2019-04-11 13:05:02.543;13:05:02.5439969Z;Fall;0,017975400358111526;0,1400639206623202;1,0020896;24,4;0,67
LC08_220079_20190418;2019-04-18 13:11:10.476;13:11:10.4764640Z;Fall;0,006290413764273811;0,18405470918834246;1,0040248;23,4;0,65
LC08_220079_20190520;2019-05-20 13:11:21.738;13:11:21.7389619Z;Fall;0,00015502499129124305;0,3457498215025394;1,0118574;21,7;0,78
LC08_219079_20190529;2019-05-29 13:05:15.778;13:05:15.7782470Z;Fall;0,0;0,3751839817169876;1,0135555;21,1;0,76
LC08_220079_20190621;2019-06-21 13:11:35.802;13:11:35.8021330Z;Winter;0,0;0,40931542032971796;1,0162345;19,5;0,67
LC08_220079_20190707;2019-07-07 13:11:39.712;13:11:39.7129650Z;Winter;0,00017419851962590657;0,3959403386849113;1,0167338;12,4;0,56
LC08_219079_20190716;2019-07-16 13:05:30.199;13:05:30.1999140Z;Winter;0,00012381367028087983;0,37538199500397995;1,0164142;16,0;0,44
LC08_220079_20190723;2019-07-23 13:11:43.581;13:11:43.5816150Z;Winter;0,0;0,35338094162806344;1,0159591;20,9;0,72
LC08_220079_20190808;2019-08-08 13:11:50.101;13:11:50.1011040Z;Winter;0,0;0,2856908647185096;1,0140439;19,5;0,84
LC08_220079_20191011;2019-10-11 13:12:07.255;13:12:07.2555079Z;Spring;0,002072144001241321;-0,1171715814583891;0,9983488;24,7;0,6
LC08_219079_20191207;2019-12-07 13:05:52.132;13:05:52.1321340Z;Spring;0,0005716632682904448;-0,39310027232146216;0,9851589;26,3;0,44
LC08_219079_20200312;2020-03-12 13:05:26.157;13:05:26.1579330Z;Summer;0,012408689169587154;-0,06316096508507656;0,9937767;28,2;0,53
LC08_220079_20200319;2020-03-19 13:11:33.397;13:11:33.3976810Z;Summer;0,0;-0,014945135349693012;0,9957439;29,5;0,6
LC08_220079_20200404;2020-04-04 13:11:24.110;13:11:24.1102589Z;Fall;7,435587817589032e-06;0,09416235008702688;1,0002765;24,7;0,39
LC08_220079_20200420;2020-04-20 13:11:17.721;13:11:17.7210330Z;Fall;0,004108325945679335;0,19619589945145957;1,0048517;23,4;0,61
LC08_219079_20200429;2020-04-29 13:05:02.169;13:05:02.1692070Z;Fall;5,9548257113588e-05;0,24800860978297662;1,0072302;25,7;0,68
LC08_219079_20200531;2020-05-31 13:05:02.904;13:05:02.9041790Z;Fall;0,0;0,38056226733554693;1,0139857;19,5;0,62
LC08_220079_20200607;2020-06-07 13:11:18.383;13:11:18.3838609Z;Fall;0,0;0,3958703475200545;1,0149536;21,4;0,54
LC08_220079_20200623;2020-06-23 13:11:27.417;13:11:27.4174420Z;Winter;0,02691116937057839;0,4093177443428098;1,016452;21,1;0,75
LC08_219079_20200803;2020-08-03 13:05:30.722;13:05:30.7229350Z;Winter;7,869710842070257e-05;0,30922096956351475;1,0146157;20,2;0,71
LC08_220079_20200810;2020-08-10 13:11:42.602;13:11:42.6023810Z;Winter;4,769999732038247e-05;0,2757349282909674;1,0135813;21,6;0,69
LC08_220079_20210218;2021-02-18 13:11:47.673;13:11:47.6731930Z;Summer;0,0;-0,20790747308780408;0,9884174;27,3;0,53
LC08_220079_20210306;2021-03-06 13:11:40.424;13:11:40.4247249Z;Summer;0,0019639772426118655;-0,10405588153920624;0,9921674;25,9;0,64
LC08_219079_20210331;2021-03-31 13:05:20.019;13:05:20.0199680Z;Fall;0,0009898554990316738;0,06728738216472639;0,9990474;25,5;0,48
LC08_219079_20210502;2021-05-02 13:05:04.990;13:05:04.9907930Z;Fall;0,045174755686344735;0,264121027612126;1,0079048;24,5;0,6
LC08_219079_20210518;2021-05-18 13:05:10.649;13:05:10.6490240Z;Fall;5,707291779827806e-05;0,3381009601437927;1,0115932;18,1;0,67
LC08_220079_20210525;2021-05-25 13:11:25.551;13:11:25.5515779Z;Fall;0,0;0,3631371514610042;1,0129052;17,8;0,57
LC08_220079_20210712;2021-07-12 13:11:38.724;13:11:38.7240440Z;Winter;0,0;0,38562923075036254;1,0166;19,9;0,68
LC08_220079_20210728;2021-07-28 13:11:45.929;13:11:45.9295130Z;Winter;3,577499799028685e-05;0,33468247240778887;1,0153829;11,7;0,38
LC08_219079_20210822;2021-08-22 13:05:44.170;13:05:44.1706439Z;Winter;0,044762961974210994;0,2102802773894377;1,0113432;20,3;0,72
LC08_220079_20220205;2022-02-05 13:11:51.925;13:11:51.9253800Z;Summer;0,0;-0,2822631079095795;0,9859745;30,7;0,63
LC08_219079_20220318;2022-03-18 13:05:27.177;13:05:27.1776230Z;Summer;5,9548257113588e-05;-0,021844615831858177;0,995234;28,8;0,7
LC08_219079_20220419;2022-04-19 13:05:22.891;13:05:22.8916280Z;Fall;0,03889229779957274;0,19015118020616256;1,0043205;23,6;0,6
LC08_220079_20220512;2022-05-12 13:11:38.871;13:11:38.8715540Z;Fall;0,0;0,3129101981569881;1,0101683;20,3;0,63
LC08_219079_20220521;2022-05-21 13:05:30.019;13:05:30.0194679Z;Fall;0,00022324758353172596;0,3494280445606317;1,0120798;17,0;0,7
LC08_220079_20220613;2022-06-13 13:11:53.560;13:11:53.5607830Z;Fall;0,0;0,404489762221632;1,0155365;18,8;0,55
LC08_220079_20220731;2022-07-31 13:12:09.317;13:12:09.3179020Z;Winter;0,0;0,32234740420042174;1,0151237;17,3;0,62
LC08_220079_20220901;2022-09-01 13:12:15.786;13:12:15.7869409Z;Winter;0,0;0,14959638400672953;1,0092376;21,3;0,48
